ID,violent,years,arrest
934,0,0,0
934,0,1,0
934,0,2,1
935,0,0,0
935,0,1,0
935,0,2,0
938,0,0,0
938,0,1,1
938,0,2,0
940,0,0,0
940,0,1,0
940,0,2,0
942,0,0,0
942,0,1,0
942,0,2,0
944,1,0,0
944,1,1,3
944,1,2,2
946,0,0,1
946,0,1,0
946,0,2,0
956,0,0,5
956,0,1,0
956,0,2,1
959,0,0,0
959,0,1,0
959,0,2,0
975,1,0,0
975,1,1,0
975,1,2,3
982,0,0,0
982,0,1,0
982,0,2,0
983,0,0,1
983,0,1,0
983,0,2,2
985,0,0,0
985,0,1,0
985,0,2,0
990,0,0,0
990,0,1,0
990,0,2,0
995,0,0,0
995,0,1,0
995,0,2,0
1005,1,0,1
1005,1,1,0
1005,1,2,0
1006,1,0,0
1006,1,1,0
1006,1,2,0
1012,0,0,1
1012,0,1,0
1012,0,2,0
1017,1,0,0
1017,1,1,2
1017,1,2,2
1027,0,0,4
1027,0,1,0
1027,0,2,0
1077,0,0,0
1077,0,1,0
1077,0,2,0
1078,0,0,14
1078,0,1,0
1078,0,2,0
1120,0,0,2
1120,0,1,2
1120,0,2,0
1122,0,0,1
1122,0,1,4
1122,0,2,0
1125,1,0,11
1125,1,1,16
1125,1,2,4
1136,1,0,0
1136,1,1,0
1136,1,2,0
1145,0,0,0
1145,0,1,0
1145,0,2,0
1151,0,0,1
1151,0,1,0
1151,0,2,0
1154,0,0,0
1154,0,1,0
1154,0,2,0
1164,0,0,0
1164,0,1,0
1164,0,2,0
1168,1,0,0
1168,1,1,1
1168,1,2,0
1174,0,0,1
1174,0,1,0
1174,0,2,0
1179,0,0,0
1179,0,1,0
1179,0,2,0
1184,0,0,0
1184,0,1,3
1184,0,2,0
1215,1,0,0
1215,1,1,2
1215,1,2,0
1219,0,0,1
1219,0,1,2
1219,0,2,0
1221,0,0,0
1221,0,1,0
1221,0,2,0
1268,0,0,0
1268,0,1,0
1268,0,2,1
1273,0,0,0
1273,0,1,0
1273,0,2,1
1285,1,0,0
1285,1,1,0
1285,1,2,0
1314,0,0,0
1314,0,1,0
1314,0,2,2
1318,0,0,2
1318,0,1,0
1318,0,2,3
1319,0,0,0
1319,0,1,1
1319,0,2,1
1320,0,0,3
1320,0,1,0
1320,0,2,0
1337,0,0,0
1337,0,1,0
1337,0,2,1
1342,0,0,0
1342,0,1,2
1342,0,2,4
1346,0,0,0
1346,0,1,0
1346,0,2,2
1360,0,0,0
1360,0,1,0
1360,0,2,0
1361,0,0,0
1361,0,1,0
1361,0,2,0
1364,0,0,0
1364,0,1,0
1364,0,2,0
1383,0,0,4
1383,0,1,0
1383,0,2,0
1384,1,0,0
1384,1,1,0
1384,1,2,1
1386,0,0,0
1386,0,1,0
1386,0,2,0
1388,1,0,5
1388,1,1,5
1388,1,2,0
1391,0,0,0
1391,0,1,0
1391,0,2,3
1392,0,0,2
1392,0,1,0
1392,0,2,1
1393,0,0,0
1393,0,1,0
1393,0,2,0
1395,0,0,0
1395,0,1,0
1395,0,2,0
1407,0,0,0
1407,0,1,0
1407,0,2,0
1410,0,0,0
1410,0,1,0
1410,0,2,1
1415,0,0,0
1415,0,1,0
1415,0,2,0
1434,0,0,0
1434,0,1,0
1434,0,2,0
1435,0,0,0
1435,0,1,0
1435,0,2,0
1450,1,0,0
1450,1,1,0
1450,1,2,0
1463,1,0,0
1463,1,1,0
1463,1,2,0
1472,0,0,0
1472,0,1,0
1472,0,2,0
1475,0,0,0
1475,0,1,1
1475,0,2,0
1483,0,0,1
1483,0,1,0
1483,0,2,5
1510,1,0,0
1510,1,1,0
1510,1,2,0
